speedy,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
-0.971549,0.096,0.103,0,0,0,4
-1,0.098,0.103,0,1,0,4
-1,0.104,0.095,0,2,0,4
-1,0.104,0.097,0,3,0,4
-1,0.104,0.091,0,4,0,4
-1,0.104,0.093,0,5,0,4
-1,0.104,0.087,0,6,0,4
-1,0.104,0.089,0,7,0,4
-1,0.104,0.083,0,8,0,4
-1,0.104,0.085,0,9,0,4
-1,0.104,0.079,0,10,0,4
-1,0.104,0.081,0,11,0,4
-1,0.104,0.075,0,12,0,4
-1,0.104,0.077,0,13,0,4
-1,0.104,0.067,0,14,0,4
-1,0.104,0.069,0,15,0,4
-1,0.104,0.063,0,16,0,4
-1,0.104,0.065,0,17,0,4
-1,0.104,0.059,0,18,0,4
-1,0.104,0.061,0,19,0,4
-1,0.104,0.055,0,20,0,4
-1,0.104,0.057,0,21,0,4
-0.914002,0.092,0.103,0,22,0,4
-0.942936,0.094,0.103,0,23,0,4
-0.854555,0.088,0.103,0,24,0,4
-0.884591,0.09,0.103,0,25,0,4
-0.792068,0.084,0.103,0,26,0,4
-0.823757,0.086,0.103,0,27,0,4
-0.725575,0.08,0.103,0,28,0,4
-0.759374,0.082,0.103,0,29,0,4
-1,0.104,0.051,0,30,0,4
-1,0.104,0.053,0,31,0,4
-0.65435,0.076,0.103,0,32,0,4
-0.690589,0.078,0.103,0,33,0,4
1,-0.006,0.003,0,34,0,4
1,-0.006,0.005,0,35,0,4
1,-0.006,0.007,0,36,0,4
1,-0.006,0.009,0,37,0,4
1,-0.006,0.011,0,38,0,4
1,-0.006,0.013,0,39,0,4
1,-0.006,0.015,0,40,0,4
1,-0.006,0.017,0,41,0,4
1,-0.006,0.019,0,42,0,4
1,-0.006,0.021,0,43,0,4
1,-0.006,0.023,0,44,0,4
1,-0.006,0.025,0,45,0,4
1,-0.006,0.027,0,46,0,4
1,-0.006,0.029,0,47,0,4
1,-0.006,0.031,0,48,0,4
1,-0.006,0.033,0,49,0,4
1,-0.006,0.035,0,50,0,4
1,-0.006,0.037,0,51,0,4
1,-0.006,0.039,0,52,0,4
1,-0.006,0.041,0,53,0,4
1,-0.006,0.043,0,54,0,4
1,-0.006,0.045,0,55,0,4
1,-0.006,0.047,0,56,0,4
1,-0.006,0.049,0,57,0,4
-0.913986,0.092,0.099,0,58,0,4
-0.942926,0.094,0.099,0,59,0,4
-0.914002,0.092,0.101,0,60,0,4
-0.942936,0.094,0.101,0,61,0,4
-1,0.104,0.071,0,62,0,4
-1,0.104,0.073,0,63,0,4
-0.914002,0.092,-0.005,0,64,0,4
-0.942936,0.094,-0.005,0,65,0,4
-0.914002,0.092,-0.003,0,66,0,4
-0.942936,0.094,-0.003,0,67,0,4
-0.85453,0.088,0.099,0,68,0,4
-0.88457,0.09,0.099,0,69,0,4
-0.854555,0.088,0.101,0,70,0,4
-0.884591,0.09,0.101,0,71,0,4
-0.792035,0.084,0.099,0,72,0,4
-0.823728,0.086,0.099,0,73,0,4
-0.792068,0.084,0.101,0,74,0,4
-0.823757,0.086,0.101,0,75,0,4
-0.725537,0.08,0.099,0,76,0,4
-0.759338,0.082,0.099,0,77,0,4
-0.725575,0.08,0.101,0,78,0,4
-0.759374,0.082,0.101,0,79,0,4
-1,0.104,0.047,0,80,0,4
-1,0.104,0.049,0,81,0,4
-0.654308,0.076,0.099,0,82,0,4
-0.690548,0.078,0.099,0,83,0,4
-0.65435,0.076,0.101,0,84,0,4
-0.690589,0.078,0.101,0,85,0,4
-0.971544,0.096,0.099,0,86,0,4
-1,0.098,0.099,0,87,0,4
-0.971549,0.096,0.101,0,88,0,4
-1,0.098,0.101,0,89,0,4
-1,0.1,0.099,0,90,0,4
-1,0.102,0.099,0,91,0,4
